139.0,27.0,33.0,129.0
138.0,27.0,32.0,128.0
138.0,27.0,32.0,128.0
138.0,27.0,32.0,128.0
138.0,27.0,32.0,128.0
138.0,27.0,32.0,128.0
138.0,27.0,32.0,128.0
138.0,27.0,32.0,128.0
138.0,28.0,32.0,128.0
138.0,28.0,32.0,128.0
138.0,28.0,32.0,128.0
138.0,28.0,32.0,128.0
138.0,28.0,32.0,128.0
138.0,28.0,32.0,128.0
138.0,28.0,32.0,128.0
138.0,29.0,32.0,128.0
138.0,29.0,31.0,128.0
138.0,29.0,31.0,128.0
138.0,29.0,31.0,128.0
138.0,29.0,31.0,128.0
138.0,29.0,31.0,128.0
137.0,29.0,31.0,128.0
137.0,29.0,31.0,128.0
137.0,30.0,31.0,128.0
137.0,30.0,31.0,128.0
137.0,30.0,31.0,128.0
137.0,30.0,31.0,128.0
137.0,30.0,31.0,128.0
137.0,30.0,31.0,128.0
137.0,30.0,31.0,128.0
137.0,31.0,31.0,128.0
137.0,31.0,30.0,127.0
137.0,31.0,30.0,127.0
137.0,31.0,30.0,127.0
137.0,31.0,30.0,127.0
137.0,31.0,30.0,127.0
137.0,31.0,30.0,127.0
137.0,31.0,30.0,127.0
137.0,32.0,30.0,127.0
137.0,32.0,30.0,127.0
137.0,32.0,30.0,127.0
136.0,32.0,30.0,127.0
136.0,32.0,30.0,127.0
136.0,32.0,30.0,127.0
136.0,32.0,30.0,127.0
136.0,33.0,30.0,127.0
136.0,33.0,29.0,127.0
136.0,33.0,29.0,127.0
136.0,33.0,29.0,127.0
136.0,33.0,29.0,127.0
136.0,33.0,29.0,127.0
136.0,33.0,29.0,127.0
136.0,33.0,29.0,127.0
136.0,34.0,29.0,127.0
136.0,34.0,29.0,127.0
136.0,34.0,29.0,127.0
136.0,34.0,29.0,127.0
136.0,34.0,29.0,127.0
136.0,34.0,29.0,127.0
136.0,34.0,29.0,127.0
136.0,35.0,29.0,127.0
134.0,35.0,29.0,126.0
134.0,35.0,29.0,125.0
134.0,35.0,30.0,125.0
135.0,35.0,30.0,125.0
135.0,35.0,31.0,124.0
136.0,35.0,31.0,124.0
136.0,35.0,32.0,124.0
137.0,35.0,32.0,123.0
137.0,35.0,33.0,123.0
138.0,35.0,34.0,123.0
137.0,35.0,34.0,122.0
136.0,35.0,34.0,121.0
135.0,36.0,35.0,121.0
134.0,36.0,35.0,120.0
133.0,37.0,36.0,120.0
129.0,36.0,36.0,119.0
125.0,36.0,37.0,118.0
121.0,36.0,38.0,118.0
117.0,36.0,39.0,117.0
113.0,36.0,40.0,117.0
109.0,36.0,41.0,116.0
